GeneSymbol	counts
NA	0
H3C14	2
H2AC18	2261
H2BC20P	730
H2AC19	2292
H3C15	3
H4C15	0
H2BC21	4023
H2AC20	2321
H2AC21	444
BOLA1	6
SV2A	15
SF3B4	0
MTMR11	5
OTUD7B	9
NA	95
VPS45	1
PLEKHO1	2
ANP32E	92
CA14	2
APH1A	50
C1orf54	4
CIART	0
MRPS21	0
PRPF3	1
RPRD2	1023
TARS2	5
MIR6878	0
ECM1	793
FALEC	1
ADAMTSL4	44
NA	0
MIR4257	0
ADAMTSL4-AS1	0
MCL1	164
ENSA	2409
GOLPH3L	145
HORMAD1	0
CTSS	27
CTSK	232
ARNT	26
SETDB1	13
CERS2	1135
ANXA9	1
MINDY1	0
PRUNE1	310
BNIPL	2
C1orf56	0
CDC42SE1	35
MLLT11	84
GABPB2	16
SEMA6C	113
TNFAIP8L2-SCNM1	0
TNFAIP8L2	36
LYSMD1	331
SCNM1	0
TMOD4	0
VPS72	629
PIP5K1A	897
PSMD4	19
ZNF687	134
PI4KB	5
RFX5	4
SELENBP1	605
PSMB4	803
POGZ	1231
CGN	690
TUFT1	43
MIR554	0
SNX27	494
CELF3	0
RIIAD1	27
MRPL9	4
OAZ3	0
TDRKH	80
